video,event_index,within_value,across_value,difference,mid1,mid2,type
friends2,1,0.16313132643699646,0.012267310172319412,0.15086401626467705,14.0,43.0,fake_boundary
friends2,2,0.8091612458229065,0.5898775458335876,0.21928369998931885,62.0,70.0,fake_boundary
friends2,3,0.7674897909164429,0.7447162866592407,0.02277350425720215,77.0,83.0,fake_boundary
friends2,4,0.6640758514404297,0.8821348547935486,-0.2180590033531189,90.0,96.0,fake_boundary
friends2,5,0.16468308866024017,0.40501338243484497,-0.2403302937746048,119.0,159.0,fake_boundary
friends2,6,0.6329257488250732,0.7600066661834717,-0.12708091735839844,185.0,195.0,fake_boundary
friends2,7,0.0834837257862091,0.08626820892095566,-0.0027844831347465515,240.0,322.0,fake_boundary
friends2,8,0.19391420483589172,0.36768072843551636,-0.17376652359962463,376.0,403.0,fake_boundary
friends2,9,0.6601322293281555,0.38365334272384644,0.2764788866043091,421.0,430.0,fake_boundary
friends2,10,0.17847682535648346,0.4923288822174072,-0.31385205686092377,453.0,490.0,fake_boundary
friends2,11,0.08169132471084595,0.1587473601102829,-0.07705603539943695,526.0,560.0,fake_boundary
friends2,12,0.3059106767177582,0.42216503620147705,-0.11625435948371887,583.0,595.0,fake_boundary
friends2,13,0.207285538315773,0.18909640610218048,0.01818913221359253,611.0,630.0,fake_boundary
friends2,14,0.07210677862167358,0.48762503266334534,-0.41551825404167175,660.0,701.0,fake_boundary
friends2,15,0.11741726100444794,-0.021635431796312332,0.13905269280076027,758.0,830.0,fake_boundary
friends2,16,0.04480714723467827,0.10808734595775604,-0.06328019872307777,901.0,972.0,fake_boundary
friends2,17,0.32595038414001465,0.2315654307603836,0.09438495337963104,1015.0,1029.0,fake_boundary
friends2,18,0.048662662506103516,0.1702035367488861,-0.12154087424278259,1068.0,1132.0,fake_boundary
friends2,19,0.020491531118750572,0.06071937829256058,-0.040227847173810005,1177.0,1205.0,fake_boundary
friends2,20,0.9999998211860657,,,1222.0,1229.0,fake_boundary
friends3,1,0.4628470540046692,0.40329769253730774,0.05954936146736145,4.0,14.0,fake_boundary
friends3,2,0.08728029578924179,0.06344405561685562,0.02383624017238617,27.0,45.0,fake_boundary
friends3,3,0.226984441280365,0.34139955043792725,-0.11441510915756226,60.0,72.0,fake_boundary
friends3,4,0.6400952935218811,0.6448626518249512,-0.004767358303070068,81.0,85.0,fake_boundary
friends3,5,0.5658397674560547,0.685214102268219,-0.1193743348121643,91.0,97.0,fake_boundary
friends3,6,0.3328481912612915,0.30018556118011475,0.03266263008117676,130.0,191.0,fake_boundary
friends3,7,0.6440148949623108,0.6202294826507568,0.023785412311553955,224.0,230.0,fake_boundary
friends3,8,0.18144720792770386,0.3163190484046936,-0.13487184047698975,251.0,287.0,fake_boundary
friends3,9,0.21104221045970917,0.05033574998378754,0.16070646047592163,330.0,378.0,fake_boundary
friends3,10,0.37867918610572815,0.5431163311004639,-0.16443714499473572,409.0,424.0,fake_boundary
friends3,11,0.06151052936911583,0.07600853592157364,-0.01449800655245781,461.0,519.0,fake_boundary
friends3,12,0.10824885219335556,0.23376968502998352,-0.12552083283662796,566.0,602.0,fake_boundary
friends3,13,0.1696023792028427,-0.020386485382914543,0.18998886458575726,673.0,781.0,fake_boundary
friends3,14,0.27739614248275757,0.712360143661499,-0.43496400117874146,840.0,850.0,fake_boundary
friends3,15,0.19201941788196564,0.13046646118164062,0.06155295670032501,902.0,997.0,fake_boundary
friends3,16,0.6230689883232117,0.5767375230789185,0.04633146524429321,1050.0,1060.0,fake_boundary
friends3,17,0.10361725091934204,0.20402002334594727,-0.10040277242660522,1089.0,1139.0,fake_boundary
